Comentario | --tiempo promedio de revisiones en el utlimo trimestre | 0 | 3
Identificador | select | 0 | 5
Identificador | avg | 7 | 5
Operador | ( | 10 | 5
Identificador | DATEDIFF | 11 | 5
Operador | ( | 19 | 5
Identificador | hour | 20 | 5
Simbolo | , | 24 | 5
Identificador | a | 26 | 5
Simbolo | . | 27 | 5
Identificador | hora | 28 | 5
Identificador | _inicio | 32 | 5
Simbolo | , | 39 | 5
Identificador | a | 41 | 5
Simbolo | . | 42 | 5
Identificador | hora | 43 | 5
Identificador | _fin | 47 | 5
Operador | ) | 51 | 5
Operador | ) | 52 | 5
Identificador | as | 54 | 5
Identificador | promedio | 57 | 5
Identificador | _tiempo | 65 | 5
Identificador | from | 0 | 6
Identificador | DETALLE | 5 | 6
Identificador | _REVISION | 12 | 6
Identificador | a | 22 | 6
Identificador | inner | 24 | 6
Identificador | join | 30 | 6
Identificador | REVISION | 35 | 6
Identificador | b | 44 | 6
Identificador | on | 46 | 6
Identificador | a | 49 | 6
Simbolo | . | 50 | 6
Identificador | id | 51 | 6
Identificador | _revision | 53 | 6
Operador | = | 63 | 6
Identificador | b | 65 | 6
Simbolo | . | 66 | 6
Identificador | id | 67 | 6
Identificador | _revision | 69 | 6
Identificador | where | 0 | 7
Identificador | DATEDIFF | 6 | 7
Operador | ( | 14 | 7
Identificador | month | 15 | 7
Simbolo | , | 20 | 7
Identificador | b | 22 | 7
Simbolo | . | 23 | 7
Identificador | fecha | 24 | 7
Identificador | _revision | 29 | 7
Simbolo | , | 38 | 7
Identificador | getdate | 40 | 7
Operador | () | 47 | 7
Operador | ) | 49 | 7
Operador | <= | 51 | 7
Entero | 3 | 54 | 7
Comentario | --listado de clientes con sus respectivas compras | 0 | 9
Identificador | select | 0 | 11
Identificador | a | 7 | 11
Simbolo | . | 8 | 11
Identificador | nombres | 9 | 11
Simbolo | , | 16 | 11
Identificador | b | 18 | 11
Simbolo | . | 19 | 11
Identificador | placa | 20 | 11
Simbolo | , | 25 | 11
Identificador | b | 27 | 11
Simbolo | . | 28 | 11
Identificador | marca | 29 | 11
Simbolo | , | 34 | 11
Identificador | b | 36 | 11
Simbolo | . | 37 | 11
Identificador | modelo | 38 | 11
Identificador | from | 0 | 12
Identificador | CLIENTE | 5 | 12
Identificador | a | 13 | 12
Identificador | inner | 15 | 12
Identificador | join | 21 | 12
Identificador | AUTOMOVIL | 26 | 12
Identificador | b | 36 | 12
Identificador | on | 38 | 12
Identificador | a | 41 | 12
Simbolo | . | 42 | 12
Identificador | dpi | 43 | 12
Operador | = | 47 | 12
Identificador | b | 49 | 12
Simbolo | . | 50 | 12
Identificador | comprador | 51 | 12
Identificador | group | 0 | 13
Identificador | by | 6 | 13
Identificador | a | 9 | 13
Simbolo | . | 10 | 13
Identificador | nombres | 11 | 13
Simbolo | , | 18 | 13
Identificador | b | 20 | 13
Simbolo | . | 21 | 13
Identificador | placa | 22 | 13
Simbolo | , | 27 | 13
Identificador | b | 29 | 13
Simbolo | . | 30 | 13
Identificador | marca | 31 | 13
Simbolo | , | 36 | 13
Identificador | b | 38 | 13
Simbolo | . | 39 | 13
Identificador | modelo | 40 | 13
Simbolo | , | 46 | 13
Identificador | b | 48 | 13
Simbolo | . | 49 | 13
Identificador | comprador | 50 | 13
Identificador | order | 0 | 14
Identificador | by | 6 | 14
Identificador | b | 9 | 14
